# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, , 0
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, , 0
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs, 0
# ranking metric product, 0
# Subspace PQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>, 0
#    Training the subspace: 0 / 8, 0 -> 38, 0
#    Training the subspace: 1 / 8, 38 -> 76, 0
#    Training the subspace: 2 / 8, 76 -> 114, 0
#    Training the subspace: 3 / 8, 114 -> 152, 0
#    Training the subspace: 4 / 8, 152 -> 189, 0
#    Training the subspace: 5 / 8, 189 -> 226, 0
#    Training the subspace: 6 / 8, 226 -> 263, 0
#    Training the subspace: 7 / 8, 263 -> 300, 0
# layer: 0,  residual average norm : 0.6196573376655579 max norm: 1.6888524293899536 min norm: 0.13289521634578705, 0
# compress items, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.011, 0.21999999999999997, 0, 0
2, 0, 0.0201, 0.201, 0, 0
4, 0, 0.03755, 0.18775, 0, 0
8, 0, 0.0679, 0.16975, 0, 0
16, 0, 0.11884999999999998, 0.1485625, 0, 0
32, 0, 0.19519999999999998, 0.122, 0, 0
64, 0, 0.30405000000000004, 0.09501562500000002, 0, 0
128, 0, 0.4366, 0.06821875, 0, 0
256, 0, 0.60005, 0.04687890625, 0, 0
512, 0, 0.7708999999999999, 0.03011328125, 0, 0
1024, 0, 0.89265, 0.0174345703125, 0, 0
2048, 0, 0.9644, 0.00941796875, 0, 0
4096, 0, 0.9914, 0.0048408203125, 0, 0
8192, 0, 0.9983000000000001, 0.002437255859375, 0, 0
16384, 0, 0.9999, 0.0012205810546875, 0, 0
32768, 0, 1.0, 0.0006103515625, 0, 0
65536, 0, 1.0, 0.00030517578125, 0, 0
131072, 0, 1.0, 0.000152587890625, 0, 0
262144, 0, 1.0, 0.00014626725953662532, 0, 0
