# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, , 0
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, , 0
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs, 0
# ranking metric product, 0
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 0,  residual average norm : 0.6392053365707397 max norm: 1.8925235271453857 min norm: 0.11763524264097214, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 1,  residual average norm : 0.4899015724658966 max norm: 1.749992847442627 min norm: 0.09519148617982864, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 2,  residual average norm : 0.4080970585346222 max norm: 1.6512564420700073 min norm: 0.10958147048950195, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 3,  residual average norm : 0.35116639733314514 max norm: 1.3474515676498413 min norm: 0.0, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 4,  residual average norm : 0.3075086772441864 max norm: 1.3072158098220825 min norm: 0.0907519981265068, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 5,  residual average norm : 0.27277663350105286 max norm: 1.0769579410552979 min norm: 0.0, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 6,  residual average norm : 0.24403710663318634 max norm: 1.0369868278503418 min norm: 0.0, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 7,  residual average norm : 0.21981941163539886 max norm: 0.9876435995101929 min norm: 0.06347277015447617, 0
# compress items, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.047599999999999996, 0.952, 0, 0
2, 0, 0.09335, 0.9335, 0, 0
4, 0, 0.17604999999999998, 0.88025, 0, 0
8, 0, 0.3196, 0.7989999999999999, 0, 0
16, 0, 0.5287499999999999, 0.6609375, 0, 0
32, 0, 0.7415499999999999, 0.46346875, 0, 0
64, 0, 0.88935, 0.277921875, 0, 0
128, 0, 0.9592, 0.149875, 0, 0
256, 0, 0.9863500000000001, 0.07705859375, 0, 0
512, 0, 0.9959, 0.03890234375, 0, 0
1024, 0, 0.9989000000000001, 0.019509765625, 0, 0
2048, 0, 0.9997, 0.0097626953125, 0, 0
4096, 0, 1.0, 0.0048828125, 0, 0
8192, 0, 1.0, 0.00244140625, 0, 0
16384, 0, 1.0, 0.001220703125, 0, 0
32768, 0, 1.0, 0.0006103515625, 0, 0
65536, 0, 1.0, 0.00030517578125, 0, 0
131072, 0, 1.0, 0.000152587890625, 0, 0
262144, 0, 1.0, 0.00014626725953662532, 0, 0
