# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f5ad8d4ba20>, <aq.AQ object at 0x7f5ac2679cf8>]
#    Training the XPQ subspace: 0 / 2, 0 -> 150
#    Training the XPQ subspace: 1 / 2, 150 -> 300
# compress items
# Mean AQ quantization error: 0.020221
# Mean AQ quantization error: 0.020645
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01986, 0.993, 0, 1
2, 0, 0.0395, 0.9875, 0, 2
4, 0, 0.07872, 0.984, 0, 4
8, 0, 0.15596, 0.9747499999999999, 0, 8
16, 0, 0.30218, 0.9443125, 0, 16
32, 0, 0.5455, 0.85234375, 0, 32
64, 0, 0.8172799999999999, 0.6385, 0, 64
128, 0, 0.95612, 0.373484375, 0, 128
256, 0, 0.99104, 0.1935625, 0, 256
512, 0, 0.9979, 0.097451171875, 0, 512
1024, 0, 0.99952, 0.0488046875, 0, 1024
2048, 0, 0.99982, 0.02440966796875, 0, 2048
4096, 0, 1.0, 0.01220703125, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.0030517578125, 0, 16384
32768, 0, 1.0, 0.00152587890625, 0, 32768
65536, 0, 1.0, 0.000762939453125, 0, 65536
131072, 0, 1.0, 0.0003814697265625, 0, 131072
262144, 0, 1.0, 0.0003656681488415633, 0, 136736
