# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 16, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 16, 0 -> 19
#    Training the subspace: 1 / 16, 19 -> 38
#    Training the subspace: 2 / 16, 38 -> 57
#    Training the subspace: 3 / 16, 57 -> 76
#    Training the subspace: 4 / 16, 76 -> 95
#    Training the subspace: 5 / 16, 95 -> 114
#    Training the subspace: 6 / 16, 114 -> 133
#    Training the subspace: 7 / 16, 133 -> 152
#    Training the subspace: 8 / 16, 152 -> 171
#    Training the subspace: 9 / 16, 171 -> 190
#    Training the subspace: 10 / 16, 190 -> 209
#    Training the subspace: 11 / 16, 209 -> 228
#    Training the subspace: 12 / 16, 228 -> 246
#    Training the subspace: 13 / 16, 246 -> 264
#    Training the subspace: 14 / 16, 264 -> 282
#    Training the subspace: 15 / 16, 282 -> 300
# layer: 0,  residual average norm : 0.5895659327507019 max norm: 1.5393879413604736 min norm: 0.1506464183330536
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.011619999999999998, 0.581, 0, 1
2, 0, 0.02228, 0.557, 0, 2
4, 0, 0.04166, 0.52075, 0, 4
8, 0, 0.07724, 0.48275, 0, 8
16, 0, 0.13826, 0.43206249999999996, 0, 16
32, 0, 0.22893999999999998, 0.35771875, 0, 32
64, 0, 0.36134, 0.282296875, 0, 64
128, 0, 0.5273599999999999, 0.206, 0, 128
256, 0, 0.7016, 0.13703125, 0, 256
512, 0, 0.85136, 0.083140625, 0, 512
1024, 0, 0.94452, 0.046119140625, 0, 1024
2048, 0, 0.9847400000000001, 0.02404150390625, 0, 2048
4096, 0, 0.9974, 0.01217529296875, 0, 4096
8192, 0, 0.99976, 0.00610205078125, 0, 8192
16384, 0, 1.0, 0.0030517578125, 0, 16384
32768, 0, 1.0, 0.00152587890625, 0, 32768
65536, 0, 1.0, 0.000762939453125, 0, 65536
131072, 0, 1.0, 0.0003814697265625, 0, 131072
262144, 0, 1.0, 0.0003656681488415633, 0, 136736
