# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 150
#    Training the subspace: 1 / 2, 150 -> 300
# layer: 0,  residual average norm : 0.6372407078742981 max norm: 1.8129827976226807 min norm: 0.1288619041442871
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00336, 0.168, 0, 1
2, 0, 0.00614, 0.1535, 0, 2
4, 0, 0.01122, 0.14025, 0, 4
8, 0, 0.02028, 0.12675, 0, 8
16, 0, 0.035699999999999996, 0.11156249999999998, 0, 16
32, 0, 0.06544, 0.10225, 0, 32
64, 0, 0.1191, 0.093046875, 0, 64
128, 0, 0.21748, 0.084953125, 0, 128
256, 0, 0.36536, 0.071359375, 0, 256
512, 0, 0.56454, 0.05513085937500001, 0, 512
1024, 0, 0.7402200000000001, 0.0361435546875, 0, 1024
2048, 0, 0.88024, 0.021490234375, 0, 2048
4096, 0, 0.9575199999999999, 0.0116884765625, 0, 4096
8192, 0, 0.98952, 0.00603955078125, 0, 8192
16384, 0, 0.99816, 0.003046142578125, 0, 16384
32768, 0, 0.99988, 0.00152569580078125, 0, 32768
65536, 0, 1.0, 0.000762939453125, 0, 65536
131072, 0, 1.0, 0.0003814697265625, 0, 131072
262144, 0, 1.0, 0.0003656681488415633, 0, 136736
