# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f5db8b96978>, <aq.AQ object at 0x7f5da2ea6da0>]
#    Training the XPQ subspace: 0 / 2, 0 -> 150
#    Training the XPQ subspace: 1 / 2, 150 -> 300
# compress items
# Mean AQ quantization error: 0.055270
# Mean AQ quantization error: 0.055226
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01856, 0.928, 0, 1
2, 0, 0.03616, 0.9039999999999999, 0, 2
4, 0, 0.07056, 0.882, 0, 4
8, 0, 0.13391999999999998, 0.8369999999999999, 0, 8
16, 0, 0.24242, 0.7575625, 0, 16
32, 0, 0.41106000000000004, 0.64228125, 0, 32
64, 0, 0.62162, 0.48564062499999994, 0, 64
128, 0, 0.81266, 0.3174453125, 0, 128
256, 0, 0.93192, 0.182015625, 0, 256
512, 0, 0.98012, 0.09571484375, 0, 512
1024, 0, 0.99484, 0.048576171875, 0, 1024
2048, 0, 0.99874, 0.02438330078125, 0, 2048
4096, 0, 0.99968, 0.012203125, 0, 4096
8192, 0, 0.99992, 0.00610302734375, 0, 8192
16384, 0, 1.0, 0.0030517578125, 0, 16384
32768, 0, 1.0, 0.00152587890625, 0, 32768
65536, 0, 1.0, 0.000762939453125, 0, 65536
131072, 0, 1.0, 0.0003814697265625, 0, 131072
262144, 0, 1.0, 0.0003656681488415633, 0, 136736
