# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 38
#    Training the subspace: 1 / 8, 38 -> 76
#    Training the subspace: 2 / 8, 76 -> 114
#    Training the subspace: 3 / 8, 114 -> 152
#    Training the subspace: 4 / 8, 152 -> 189
#    Training the subspace: 5 / 8, 189 -> 226
#    Training the subspace: 6 / 8, 226 -> 263
#    Training the subspace: 7 / 8, 263 -> 300
# layer: 0,  residual average norm : 0.17263613641262054 max norm: 0.6162468194961548 min norm: 0.08866617828607559
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.019, 0.95, 0, 1
2, 0, 0.03764, 0.941, 0, 2
4, 0, 0.07442, 0.93025, 0, 4
8, 0, 0.14448, 0.903, 0, 8
16, 0, 0.27265999999999996, 0.8520624999999998, 0, 16
32, 0, 0.48168, 0.752625, 0, 32
64, 0, 0.7340399999999999, 0.57346875, 0, 64
128, 0, 0.9117000000000001, 0.3561328125, 0, 128
256, 0, 0.97926, 0.19126171875, 0, 256
512, 0, 0.9955200000000001, 0.09721875, 0, 512
1024, 0, 0.99898, 0.0487783203125, 0, 1024
2048, 0, 0.9997199999999999, 0.0244072265625, 0, 2048
4096, 0, 1.0, 0.01220703125, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.0030517578125, 0, 16384
32768, 0, 1.0, 0.00152587890625, 0, 32768
65536, 0, 1.0, 0.000762939453125, 0, 65536
131072, 0, 1.0, 0.0003814697265625, 0, 131072
262144, 0, 1.0, 0.0003656681488415633, 0, 136736
