# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/50_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 38
#    Training the subspace: 1 / 8, 38 -> 76
#    Training the subspace: 2 / 8, 76 -> 114
#    Training the subspace: 3 / 8, 114 -> 152
#    Training the subspace: 4 / 8, 152 -> 189
#    Training the subspace: 5 / 8, 189 -> 226
#    Training the subspace: 6 / 8, 226 -> 263
#    Training the subspace: 7 / 8, 263 -> 300
# layer: 0,  residual average norm : 0.6196573376655579 max norm: 1.6888524293899536 min norm: 0.13289521634578705
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0074, 0.37, 0, 1
2, 0, 0.01422, 0.3555, 0, 2
4, 0, 0.02748, 0.3435, 0, 4
8, 0, 0.052320000000000005, 0.327, 0, 8
16, 0, 0.09536, 0.298, 0, 16
32, 0, 0.16246, 0.25384375, 0, 32
64, 0, 0.26123999999999997, 0.20409375, 0, 64
128, 0, 0.39436, 0.154046875, 0, 128
256, 0, 0.56084, 0.1095390625, 0, 256
512, 0, 0.7378199999999999, 0.072052734375, 0, 512
1024, 0, 0.87386, 0.0426689453125, 0, 1024
2048, 0, 0.95626, 0.02334619140625, 0, 2048
4096, 0, 0.9889199999999999, 0.01207177734375, 0, 4096
8192, 0, 0.99802, 0.0060914306640625, 0, 8192
16384, 0, 0.99988, 0.0030513916015625, 0, 16384
32768, 0, 1.0, 0.00152587890625, 0, 32768
65536, 0, 1.0, 0.000762939453125, 0, 65536
131072, 0, 1.0, 0.0003814697265625, 0, 131072
262144, 0, 1.0, 0.0003656681488415633, 0, 136736
